EXTN_LEGACY_ITEM_ID,EXTN_LEGACY_SELLER_ID,NODE,MIN_DAYS_TO_SHIP,MAX_DAYS_TO_SHIP
5983464,0,8302,0,0
17340548,0,588723,0,0
19613392,0,6559,0,0
24754831,0,736465,0,0
40682237,0,736465,0,0
44378010,0,232162,0,0
17250538,0,736465,0,0
40791966,0,736434,0,0
26655706,0,736434,0,0
19901204,0,729981,0,0
26736193,0,736465,0,0
16622344,0,4364,0,0
43223908,0,4364,0,0
3629052,0,736465,0,0
29517041,0,446620,0,0
42592635,0,736465,0,0
252270,0,736465,0,0
11008791,0,736434,0,0
26489165,0,736465,0,0
5279616,0,736465,0,0
31885401,0,736465,0,0
25658153,0,736434,0,0
20525034,0,446620,0,0
14321726,0,446620,0,0
40971517,0,736434,0,0
48986628,0,83415305,0,0
37874084,0,446620,0,0
16619530,0,736434,0,0